2025-07-09 12:24:23,Metric/Anonymization,St.NER3,St.NER4,St.NER7,spaCy,Presidio,Word2Vec_t=0.25,Word2Vec_t=0.5,Manual
2025-07-09 12:24:24,Precision,0.8417676407697791,0.7522040302267002,0.7729257641921398,0.665620473201352,0.6615787178368949,0.6015483445890298,0.5571947078796394,1.0
2025-07-09 12:24:24,Recall,0.3137858104210729,0.5339357815804653,0.39396269948086904,0.5895020188425303,0.3791578542587964,0.6702557200538358,0.8229186694866372,1.0
2025-07-09 12:24:33,TPI,0.7767868030342178,0.5854393070573396,0.7107871938673571,0.5254486031232031,0.6919943045989837,0.44618526842764267,0.2640662188047076,0.46561416656441573
2025-07-09 12:24:56,TPS,0.7767868030342178,0.5854393070573396,0.7107871938673571,0.5254486031232031,0.6919943045989837,0.44618526842764267,0.2640662188047076,0.46561416656441573
2025-07-09 12:25:16,NMI_minilm,1.0,1.0,1.0,0.03745506112912884,1.0,0.022879596059608216,0.01645258487014822,0.17267661339605062
2025-07-09 12:26:50,Metric/Anonymization,St.NER3,St.NER4,St.NER7,spaCy,Presidio,Word2Vec_t=0.25,Word2Vec_t=0.5,Manual
2025-07-09 12:26:50,Precision,0.8417676407697791,0.7522040302267002,0.7729257641921398,0.665620473201352,0.6615787178368949,0.6015483445890298,0.5571947078796394,1.0
2025-07-09 12:26:51,Recall,0.3137858104210729,0.5339357815804653,0.39396269948086904,0.5895020188425303,0.3791578542587964,0.6702557200538358,0.8229186694866372,1.0
2025-07-09 12:26:59,TPI,0.7767868030342178,0.5854393070573396,0.7107871938673571,0.5254486031232031,0.6919943045989837,0.44618526842764267,0.2640662188047076,0.46561416656441573
2025-07-09 12:27:20,TPS,0.7767868030342178,0.5854393070573396,0.7107871938673571,0.5254486031232031,0.6919943045989837,0.44618526842764267,0.2640662188047076,0.46561416656441573
2025-07-09 12:27:38,NMI_minilm,1.0,1.0,1.0,0.039168007669964776,1.0,0.027631599547818454,0.01645258487014822,0.15369799895294106
2025-07-09 12:30:24,TRIR,0.4,0.32,0.6,0.32,0.42,0.2,0.08,0.2
2025-07-10 11:19:44,Metric/Anonymization,St.NER3,St.NER4,St.NER7,spaCy,Presidio,Word2Vec_t=0.25,Word2Vec_t=0.5,Manual,Manual_old
2025-07-10 11:19:44,Precision,0.9679258731290092,0.9508816120906801,0.9631246967491509,0.9138097537421536,0.9367640645442652,0.7888321528578488,0.743940990516333,1.0,0.9919246298788694
2025-07-10 11:19:44,Recall,0.30041865165295223,0.5220153024397286,0.3910783889129493,0.6123863144218277,0.4133102353111015,0.6522304027717627,0.8059766132524903,1.0,0.7838891294932872
2025-07-10 11:19:53,TPI,0.7767868030342178,0.5854393070573396,0.7107871938673571,0.5254486031232031,0.6919943045989837,0.44618526842764267,0.2640662188047076,0.3603811680146064,0.46561416656441573
2025-07-10 11:22:11,Metric/Anonymization,St.NER3,St.NER4,St.NER7,spaCy,Presidio,Word2Vec_t=0.25,Word2Vec_t=0.5,Manual,Manual_old
2025-07-10 11:22:11,Precision,0.9679258731290092,0.9508816120906801,0.9631246967491509,0.9138097537421536,0.9367640645442652,0.7888321528578488,0.743940990516333,1.0,0.9919246298788694
2025-07-10 11:22:11,Recall,0.30041865165295223,0.5220153024397286,0.3910783889129493,0.6123863144218277,0.4133102353111015,0.6522304027717627,0.8059766132524903,1.0,0.7838891294932872
2025-07-10 11:22:19,TPI,0.7767868030342178,0.5854393070573396,0.7107871938673571,0.5254486031232031,0.6919943045989837,0.44618526842764267,0.2640662188047076,0.3603811680146064,0.46561416656441573
2025-07-10 11:22:44,NMI_bert,0.15324600564246255,0.18679563286948098,0.3005340575950478,0.1358757808377322,0.1688657196044489,0.20322720737799638,0.00917847992239942,0.23405175830337863,0.08389344486563091
2025-07-10 11:25:31,TRIR,0.4,0.32,0.6,0.32,0.42,0.2,0.08,0.14,0.2
